Name;Known ingredients;Effect;Characteristics;Difficulty level
Ageing Potion;Newt spleens , Bananas;Ages drinker temporarily;Green;Advanced
Amortentia;;Love Potion that causes a powerful infatuation or obsession in the drinker;Mother-of-pearl sheen, Spiralling steam, Scent is multi-faceted and varies based on what the person likes;Advanced
Antidote to Veritaserum;;Counters the effect of Veritaserum;;
Babbling Beverage;Valerian sprigs, Aconite, Dittany;Causes the drinker to speak nonsense;;
Baruffio's Brain Elixir;Leaping Toadstools, Frog Brains, Runespoor eggs, Powdered dragon claw;Allegedly increases one's brain power;Green in colour;
Befuddlement Draught;Scurvy grass, Lovage, Sneezewort;Recklessness;Dark green in colour;
First Love Beguiling Bubbles;;Causes the drinker to become infatuated with the giver of the potion;;
Fire Protection Potion;Bursting mushrooms, Salamander blood, Wartcap powder;Protects drinker from fire;Purple or Black;Beginner
Tolipan Blemish Blitzer;Dragon claw;Treats acne;White in colour, Thick paste consistency;
Blood-Replenishing Potion;;Replenishes lost blood;Dark red in colour;
Bruise removal paste;;Heals bruises in an hour;Thick, yellow paste;
Bundimun Secretion;;Doxycide, Bundimun Pomade, Cleaning products;Lime green in colour, Emits vapours;
Burn-healing paste;;Heals burns;Orange;
Calming Draught;;Calms the drinker;Blue in colour;
Caxambu Style Borborygmus Potion;;Provokes stomach growling;;
Chelidonium Miniscula;Dark yellow in colour;;;
Confusing Concoction;Scurvy grass, Lovage, Sneezewort;Confusion;;Simple to moderate
Cough potion;;Cures coughing;;
Cupid Crystals;;Causes the drinker to become infatuated with the giver of the potion;;
Cure for Boils;Dried nettles, 6 snake fangs, 4 horned slugs, 2 porcupine quills, Pungous Onions, Flobberworm Mucus, Ginger root, Shrake spines;Removes boils;Blue, Emits pink smoke;Beginner
